"Index","Nom","AET","IP","Masque","Port"
1,MEDASYS,DXIRG,"172.18.11.10","255.255.255.0",3000
2,ETIAM,SMNI-VALET,"172.17.0.20","",104
4,Viewpoint,"","172.26.17.11","255.255.255.0",104
5,View,G1004256,"172.26.17.11","255.255.255.0",104
6,XCELERA,INTURISPRO_SCP,"10.208.36.30","255.255.255.0",104
7,SERVEUR PIGE NORD,PIGENORD,"172.25.112.26","255.255.255.0",104
8,SERVEUR PIGE SUD,PIGESUD,"172.23.73.16","255.255.255.0",104
9,NEXUS,NEXUS,"172.23.127.21","",8005
10,VALET_SMNI,VALET_SMNI,"172.10.0.20","",104
11,SIMUSANTE,Csami80000FIR,"10.208.38.26","255.255.255.0",2104
12,DOSEWATCH_SCP,DW_RDSR_SCP ,"10.208.37.105","255.255.255.0",2003
13,DOSEWATCH_MPPS,DW_MPPS_SCP,"10.208.37.105","255.255.255.0",2001
14,DOSEWATCH_RAW,DW_RAW_SCP ,"10.208.37.105","255.255.255.0",2002
15,ISCV,ISCVPRO_SCP,"172.19.19.20","255.255.255.0",104
16,ECHOPAC REAMED,"","10.208.37.91","",0
17,ORTHANC,ORTHANC,"172.16.167.18","255.255.255.0",104
18,-----,-----,"0.0.0.0","255.255.255.0",104
19,DEEP UNITY,EE2006194AMIP,"172.19.32.28","255.255.255.0",11112
20,SYNGOVIA,SYNGOVIA4093,"10.208.40.33","255.255.255.0",104
