"Index","Type"
672, PC QUI PILOTE L'OCTOPUS
870,"1° LDE pour ETO"
871,"2° LDE pour ETO"
782,AC500
783,AC5000
589,ADVANTAGE WORKSTATION
644,AI1000 INNOVA
1089,Alpha Ethernet Adapter II
551,AMPLI TETIERE
1068,Analyseur de Composition Corporelle
1031,analyseur VO2
1116,ANATOMAGE
877,ANGIOGRAPHE
810,ANGIORETINOGRAPHE
569,ANT
535,APELEM PLATINUM
1071,aplio i800
1107,application DATQUANT
1118,ARIETTA 850
632,AW IGS730
622,AW SERVEUR
612,AW SERVEUR CLIENT
595,AW-IGS530
629,AW-IGS540
686,BABYBODY
1084,bandeau lumineux
1015,BIOMETRE
522,BORNE DOSIMèTRE
1007,BV ENDURA
1008,BV VERADUS
1123,C1533
994,C321dn
1122,C3926i
649,CA1000
1009,CALLISTO EYE
550,CAMERA
565,CAMERA ES
732,CAMERA IP
744,CARDIOSERV
1029,CASE
626,CASE1000
1088,CENTRALE PIICIX
1125,CIOS SELECT
754,CLIENT PORTAL
811,CONSOLE ACQUISITION
1041,CONSOLE CARDIOREPORT
990,CONSOLE EEG
781,CONSOLE ELEVA
973,CONSOLE MEDECOM
1060,CONSOLE RADIOLOGIE
1022,CONSOLE RELECTURE
813,CONSOLE SERVEUR
812,CONSOLE TRAITEMENT
521,CONSOLE TSI
1023,CONSOLE VARIAN
817,CONSOLE VISU 1
818,CONSOLE VISU 2
1042,CONSOLE VOLCANO
785,CONSOLE XCELERA
788,CX50
650,DEFINIUM 8000
1046,DF5000
1087,Digi One SP
1083,DIGITALDIAGNOST C50
630,DISCOVERY 750HD
648,DISCOVERY XR656
631,DL IGS730
643,DL01 INNOVA
1092,DNS-345
531,DRX EVOLUTION
537,DRX1
1026,DV5950
753,DYNASUITE
745,ECG-1550K WIFI
625,ECHO VIVID E9
1064,ECHO VIVID E95
1050,ECHO VOLUSON E10
1066,ECHO VOLUSON P6
1065,ECHO VOLUSON S6
1086,ECHO VOLUSON SWIFT
583,ECHOGRAPHE
808,ECHOGRAPHE  902
874,ECHOGRAPHE AIXPLORER 2
585,ECHOGRAPHE CCV
1025,ECHOGRAPHE MINDRAY TE7
1054,ECHOPAC CONSOLE
658,ECHOPAC REA
662,ECHOPAC REA  VIVID S6
660,ECHOPAC REA ANCIEN SERVEUR
661,ECHOPAC REA PORTABLE
659,ECHOPAC REA SERVEUR
1014,ELI 150c
1067,EMG PES
567,EMGPE
866,ENT1
867,ENT2
1056,EPIQ ELITE
998,EPIQ5
1021,EPIQ5C
1020,EPIQ5G
965,EPIQ7
1027,EPIQ7C
995,ES7470MFT
840,ESET1
858,ESET10
842,ESET2
844,ESET3
846,ESET4
848,ESET5
850,ESET6
852,ESET7
854,ESET8
856,ESET9
1094,FDR-Nano
1103,fibroscan630
1090,FIREWALL
636,FIREWALL-IGS530
633,FIREWALL-IGS540
991,FIREWALL-IGS730
879,FLUOGRAPHE
1073,FTIR-8400
558,G1004697
562,G10109890
560,G1102711
559,G1102712
714,G1201318
563,G1204356
555,G1406798
556,G1406807
568,G1419751
647,G41600008 AWRM02
600,G4160010 AWRM01
1100,GAMMA CAMERA D870DR
1113,GI BRONCH MENTOR
670,GIVEN PC
1013,HAIVISION
977,HD11
675,HEIDELBERG  SLO
676,HITACHI OMEGA
1105,HOLOGIC
578,HOLTER
830,HP 2015
1106,HP ML350 GEN10
554,HP P2015
969,IE33
774,IE33S2
775,IE33S3
594,IGS530
627,IGS540
1017,IMACTIS
1121,ImagePRESS C265
795,IMPRIMANTE
794,IMPRIMANTE LASER
825,IMPRIMANTE XEROX
1044,Infinity Delta XL
1102,injecteur CENTARGO
1019,Injecteur MEDRAD
1043,INNOVA IGS 520
1040,INTERFACE XLTEK
885,INTERFEROMETRE
791,INTRASENSE
687,IOS
751,IRM
651,IRM 3T
590,IRM 450 W GEM
749,IRM RECHERCHE
993,ISISiom
861,IT PANEL 1
862,IT PANEL 2
863,IT PANEL 3
596,ITU-IGS530
628,ITU-IGS540
634,ITU-IGS730
575,KERATOMETRE    441707
1114,LAP MENTOR
869,LASERJET 1320N
544,LECTEUR CR850
538,LECTEUR CR950
519,LECTEUR DE PLAQUE
539,LECTEUR ELITE
882,LECTEUR FILM
828,LEONARDO
573,LEXMARK C544
999,LIGHTSPEED 64
1055,LOGIC E10
611,LOGIC E9
638,LOGIC E9 CCV
1028,LOGIC S8
599,M4160065 AWRB2
653,M4160091 AWRB4
608,M4160091 AWRXA
548,M6800
645,MACLAB
652,MAGNET IRM 3T
591,MAGNET MONITOR
1059,MAMMOGRAPHE
545,MASTERPAGE
826,MC20
1117,MCT
705,MEDTECH1
733,MICROMED-SQL
576,MICROSCOPE SPECULAIRE
1035,mobile Cios Siemens
1085,mobile GE
1124,mobile GE OEC ELITE
1011,mobile ZIEHM
552,MON PC DE TEST
1048,MOVIX 40
1001,MULTIPLAN
1045,MVWS
637,NAS CARDIO
832,NAVIGATOR
1063,NEURONAVIGATEUR
708,NEURONAVIGATION
1047,NEW TEE
742,NIHON KODEN
707,OARM
884,OCT
1072,OEC One
1082,OLIMEX_ESP32_POE
689,OXYCON
1012,OXYCON PRO
1076,PACS ORTHANC
748,PACS PHILIPS
868,PAILLASE ETO
864,PAILLASSE 1
865,PAILLASSE 2
677,PANEL PC SMS MULTIMEDIA
1002,Parkinson
992,PC
597,PC BIOMEDICAL FIXE
598,PC BIOMEDICAL PORTABLE
691,PC LECTURE IOS
690,PC LECTURE OXYCON
665,PC SALLE VIEWPOINT
883,PC SERVEUR
1010,PC VIRTUEL
580,PCBOXCONS1
581,PCBOXCONS2
582,PCBOXCONS3
1111,PELVIC MENTOR
829,PERSPECTIVE
685,PFT
1091,PIC IX
709,PLANIFICATION
564,PORTABLE
572,PORTABLE MME BOUREL
592,PORTABLE TECHNICIEN
549,POSTE ACQUISITION
1079,PRISTINA
816,PROMAX
773,QLAB
1000,raspberrypi
570,RELECTURE_ANT
546,REPRO 5850
542,REPRO 8900
577,RETINOGRAPHE
1096,REVOLUTION ASCEND
1057,REVOLUTION CT
700,ROBOT DE GRAVAGE
704,ROSA MEDTECH
706,ROSA SPINE
823,S2000
821,S2000 GHS
820,S2000 GNN
668,S4160068 AWRC3
639,S4160078 AWRC5
1077,S8
827,SALLE ARTIS
1003,SALLE EOS
1099,SCANNER CT540
587,SCANNER CT660
1058,SCANNER OPTIMA
641,SCANNER VCT1
1080,SENO CONNECT
646,SENO ESSENTIAL
755,SENSAVUE
1097,SENTRYSUITE
1062,SEQUOIA
819,SEQUOIA C512
860,SERVEUR
752,SERVEUR APPLICATION
792,SERVEUR IMPRESSION DICOM
756,SERVEUR XCELERA
671,SIMULATEUR COUPOLE
1115,Simusante RDC haut
833,SOL1
834,SOL2
835,SOL3
836,SOL4
837,SOL5
838,SOL6
839,SOL7
1119,SOLx
1120,SOLy
776,SPS_16_LTE1302 2014-11746
777,SPS_16_LTE1303 2014-11745
778,SPS_16_LTE2301 2014-11748
779,SPS_16_LTE2302 2014-11747
688,SRVJAEGER
956,STATION DE PLANNING
712,STIMULATEUR OPTO COULEUR
996,STOCKERT 24 90 30
1078,STREAMBOX
1109,SURGIVISIO
1004,SYMBIA INTEVO
673,SYSTEME PHOTO-VIDEO NUM
734,TABLE OPH
1126,TC50
1070,TC70
997,TEE
1016,TEP GE
878,TOMOGRAPHE COHERENCE
1112,U/S MENTOR
1024,UR-4MD
1098,USB-EHTERNET
809,VIDEOTOPOGRAPHE   18822150
1018,ViosWorks  Arterys
1108,VIVID E95
1081,VIVID S60
1061,VIVID S70
1036,VOLUSON E10
640,VOLUSON E8 CGO
642,VOLUSON E8 CGO 2
1110,VOLUSON S6
1074,VOLUSON SWIFT
831,WIZARD TEP
763,XCELERA CLIENT
1101,XELERIS
876,XEROX
1037,XEROX C60
1039,XEROX C8030
1038,XEROX COLORQUBE 8580N
579,XEROX EFCR
1006,XLTEK
1093,YSIO
