"idvlan","numvlan","nomvlan"
1,2507,Biomed_RadioProtect
2,2542,Clinibox
3,2543,Radio_Esaote
4,2544,TPE_IP
5,2545,Radio_Toshiba
6,2546,Radio_Medtronic
7,2547,Radio_Medtech
8,2548,Radio_Codonics
9,2549,Radio_NihonKohden
10,2550,DomitiqMCO
11,2551,Radio_Jaeger
12,2552,Radio_Medatec
13,2553,Radio_Marquette
14,2554,Radio_VITASCAN
15,2555,Radio_Given
16,2556,Radio_Heidelberg
17,2557,Radio_Compumedics
18,2558,Radio_NICOLET
19,2559,Radio_INOMED
20,2560,Dosimetrie
21,2561,Radio_AGFA
22,2562,Radio_DELTAMED
23,2563,Radio_MICROMED
24,2564,Radio_PIGE
25,2565,Radio_Anios
26,2566,Radio_Hitachi
27,2567,Radio_Supersonic
28,2568,Radio_Topcon
29,2569,Radio_Hagg_Streit
30,2590,Radio_Bayer
31,2660,Radio_Ebc
32,2661,Radio_Zeiss
33,2662,Radio_Sanotek
34,2663,Radio_Quantel
35,2664,Radio_Sagitherm
36,2665,Radio_Metrovision
37,2666,Radio_Nidek
38,2667,Radio_sia_medical
39,2668,Radio_Medsquare
40,2669,Radio_ICN_Metrics
41,2710,Radio_SHIMADZU
42,2711,Radio_SORIN
43,2712,Radio_Intrasense
44,2758,Internet_FCV
45,2786,FW-PHILIPS
46,2787,Radio_GE
47,2788,Radio_CareStream
48,2790,Radio_Siemens
49,2791,Radio_Sectra
50,2803,Radio_Accuray
51,3042,Radio_GE_STV
52,1310,rosace-sigmacom
53,1311,PICASSO-SIGMA-INTERC
54,2769,PICASSO-VISIO
55,2770,PICASSO_CGTR
56,2771,PICASSO-DELTAMED
57,2784,PICASSO-MYRIAN
58,2785,VISIO-CODEC
59,2796,PICAS_SIGM_OLD
60,2797,PICA_VISIO_AVC
61,2798,PICA_SIGMA_NEUR
62,2799,PICA_SIG_MYRIA
63,2591,SAMU_DATA
64,2592,SAMU_VOIX
65,2593,SAMU_RADIO
66,2601,AESKULAB-LABO
67,2620,Panels_Exacto
68,2734,ESirius
69,2763,ISP-RENATER
70,2789,PICASSO_UCS80
71,3032,PICASSO-BIGIP-LAN
72,2780,BYODCHU_WiFi
73,3039,Internet_RENATER2
74,2714,Radio_EOS
75,2713,Biomed_Test
