"Index","Nom","Aet","IP","Port","Masque"
1,MEDASYS,OFMEDASYS,"10.200.4.55",104,"0"
2,CRXP,CRXP,"172.23.239.10",104,"0"
3,PC Salle Aplio,G1004256,"172.26.17.11",104,"255.255.255.0"
4,Venus CT,WLCT,"172.23.157.21",4007,"255.255.255.0"
5,Venus NM,WLNM,"172.23.157.21",4007,"255.255.255.0"
6,IDBROKER,IDBROKER,"172.23.127.22",3104,""
7,SMNI,SMNI-WL,"172.17.0.21",104,"255.255.255.0"
8,IBE_SCP,IBE_SCP,"172.19.19.21",5111,""
9,NICESOFT,NICESOFT,"10.208.38.27",2104,"255.255.255.0"
10,VENUS ???,WLNM,"172.19.32.34",4007,""
